study_accession	sample_accession	experiment_accession	run_accession	omics	library_strategy	library_layout	processing_layout	fastq_structure	fastq_role	file_index	filename	fastq_ftp	fastq_md5	fastq_bytes
PRJNA746067	SAMN20179690	SRX11420350	SRR15111577	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111577_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/077/SRR15111577/SRR15111577_1.fastq.gz	df36775b4c5436fb3c8d8a92cfbfbd63	1544705597
PRJNA746067	SAMN20179690	SRX11420350	SRR15111577	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111577_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/077/SRR15111577/SRR15111577_2.fastq.gz	f89f200b0f837aae61dfa78cddc367f1	1583226568
PRJNA746067	SAMN20179689	SRX11420349	SRR15111578	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111578_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/078/SRR15111578/SRR15111578_1.fastq.gz	ca6da6d40bda91cbfca42281a5947609	1290366996
PRJNA746067	SAMN20179689	SRX11420349	SRR15111578	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111578_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/078/SRR15111578/SRR15111578_2.fastq.gz	33b2b40d72f99c0543c2766c3c768fe6	1279722243
PRJNA746067	SAMN20179688	SRX11420348	SRR15111579	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15111579_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/079/SRR15111579/SRR15111579_1.fastq.gz	1743c1e5ab1e7a913d7674ec385d8402	1678734423
PRJNA746067	SAMN20179688	SRX11420348	SRR15111579	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15111579_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/079/SRR15111579/SRR15111579_2.fastq.gz	404f04c115836a5e791015936affac42	1729220902
PRJNA255418	SAMN02918450	SRX653805	SRR1516214	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	SRR1516214.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1516214/SRR1516214.fastq.gz	14f1e5226a8bfc1f2fcfbc061b4fe603	711691577
PRJNA749145	SAMN20355393	SRX11527345	SRR15221371	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15221371_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/071/SRR15221371/SRR15221371_1.fastq.gz	ebeec2c1d1caa315d68f2b809573de9c	310474795
PRJNA749145	SAMN20355393	SRX11527345	SRR15221371	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	SRR15221371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/071/SRR15221371/SRR15221371_2.fastq.gz	ca3c8648ec2bfcde25b85215ac70902a	311973310
PRJNA749145	SAMN20355393	SRX11527333	SRR15221383	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	SRR15221383_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/083/SRR15221383/SRR15221383_1.fastq.gz	7f64c8b21d6d11e9dfa0c99784f05ab9	253743891
